Tuula,31496,31496
Anne,30582,62078
Päivi,30235,92313
Ritva,29964,122277
Anna,29945,152222
Leena,29191,181413
Pirjo,28636,210049
Sari,27866,237915
Minna,27815,265730
Marja,27251,292981
Tiina,25986,318967
Riitta,25868,344835
Tarja,24999,369834
Pirkko,24152,393986
Laura,23571,417557
Seija,22473,440030
Aino,22247,462277
Eeva,22242,484519
Liisa,22221,506740
Raija,21926,528666
Anja,21712,550378
Sirpa,21711,572089
Jaana,21562,593651
Satu,21549,615200
Heidi,21392,636592
Hanna,21336,657928
Sanna,21121,679049
Eila,20749,699798
Eija,20476,720274
Maria,20258,740532
Merja,19864,760396
Johanna,19507,779903
Kirsi,19478,799381
Arja,19046,818427
Maija,18626,837053
Paula,18042,855095
Ulla,17772,872867
Sirkka,17198,890065
Jenni,16861,906926
Elina,16256,923182
Katja,15815,938997
Mari,15159,954156
Heli,15074,969230
Anni,14944,984174
Nina,14909,999083
Raili,14700,1013783
Terttu,14618,1028401
Hilkka,14054,1042455
Emma,14048,1056503
Kirsti,13894,1070397
Mirja,13792,1084189
Helena,12840,1097029
Anu,12610,1109639
Kaija,12552,1122191
Tuija,12448,1134639
Sara,11761,1146400
Niina,11719,1158119
Emilia,11575,1169694
Kaisa,11352,1181046
Suvi,11244,1192290
Pia,11121,1203411
Ella,11047,1214458
Saara,10994,1225452
Tanja,10969,1236421
Irma,10935,1247356
Aila,10913,1258269
Jenna,10744,1269013
Leila,10677,1279690
Sofia,10650,1290340
Katri,10468,1300808
Maarit,10458,1311266
Kati,10434,1321700
Henna,10383,1332083
Marjo,10346,1342429
Lea,10187,1352616
Veera,10124,1362740
Noora,10076,1372816
Susanna,9772,1382588
Irja,9679,1392267
Riikka,9672,1401939
Julia,9600,1411539
Iida,9506,1421045
Marja-Leena,9495,1430540
Kerttu,9309,1439849
Outi,9294,1449143
Sinikka,9213,1458356
Mervi,9206,1467562
Taina,9166,1476728
Helmi,8901,1485629
Milla,8872,1494501
Jonna,8849,1503350
Virpi,8809,1512159
Emmi,8576,1520735
Venla,8452,1529187
Miia,8427,1537614
Marja-Liisa,8329,1545943
Sonja,8229,1554172
Tiia,8078,1562250
Marika,7748,1569998
Elli,7607,1577605
Siiri,7602,1585207
Lotta,7562,1592769
Terhi,7481,1600250
Elsa,7421,1607671
Sanni,7318,1614989
Sini,7316,1622305
Sisko,7260,1629565
Annika,7166,1636731
Vilma,7138,1643869
Teija,7041,1650910
Mira,7038,1657948
Ida,7003,1664951
Aune,6911,1671862
Oona,6799,1678661
Mia,6784,1685445
Anita,6636,1692081
Maire,6565,1698646
Essi,6501,1705147
Nea,6384,1711531
Aada,6290,1717821
Linda,6281,1724102
Piia,6234,1730336
Airi,6230,1736566
Viivi,6154,1742720
Taru,6150,1748870
Anneli,5966,1754836
Marita,5764,1760600
Petra,5729,1766329
Anna-Liisa,5615,1771944
Elisa,5490,1777434
Roosa,5478,1782912
Erja,5451,1788363
Salla,5399,1793762
Silja,5357,1799119
Pinja,5297,1804416
Vuokko,5255,1809671
Iina,5241,1814912
Ronja,4945,1819857
Amanda,4916,1824773
Helvi,4889,1829662
Krista,4865,1834527
Marjatta,4857,1839384
Inka,4774,1844158
Enni,4722,1848880
Riina,4719,1853599
Aili,4706,1858305
Milja,4675,1862980
Lilja,4631,1867611
Jenny,4610,1872221
Marianne,4597,1876818
Marjut,4585,1881403
Olivia,4512,1885915
Martta,4479,1890394
Jasmin,4435,1894829
Salme,4393,1899222
Eva,4362,1903584
Toini,4348,1907932
Eveliina,4343,1912275
Soile,4316,1916591
Iiris,4227,1920818
Ilona,4193,1925011
Elvi,4086,1929097
Saana,4059,1933156
Kristiina,4029,1937185
Anniina,3995,1941180
Eevi,3993,1945173
Ellen,3973,1949146
Maija-Liisa,3951,1953097
Katariina,3941,1957038
Asta,3940,1960978
Hannele,3916,1964894
Reetta,3885,1968779
Aira,3881,1972660
Nelli,3845,1976505
Auli,3790,1980295
Sirkka-Liisa,3762,1984057
Laila,3744,1987801
Saija,3742,1991543
Meeri,3736,1995279
Linnea,3731,1999010
Alisa,3685,2002695
Pihla,3635,2006330
Rauni,3633,2009963
Maiju,3613,2013576
Minttu,3589,2017165
Heini,3460,2020625
Jessica,3453,2024078
Eira,3429,2027507
Armi,3421,2030928
Taimi,3420,2034348
Kaisu,3414,2037762
Meri,3337,2041099
Tuuli,3330,2044429
Nella,3268,2047697
Matilda,3221,2050918
Erika,3173,2054091
Pauliina,3123,2057214
Camilla,3122,2060336
Alina,3112,2063448
Neea,3000,2066448
Rauha,2938,2069386
Sirkku,2937,2072323
Kaarina,2936,2075259
Mirva,2930,2078189
Janina,2893,2081082
Carita,2855,2083937
Karoliina,2829,2086766
Sylvi,2823,2089589
Eeva-Liisa,2774,2092363
Oili,2769,2095132
Hilla,2733,2097865
Soili,2684,2100549
Anna-Maija,2679,2103228
Senja,2678,2105906
Jutta,2634,2108540
Maila,2628,2111168
Elena,2617,2113785
Minea,2609,2116394
Olga,2576,2118970
Mila,2536,2121506
Irene,2534,2124040
Margit,2505,2126545
Ada,2469,2129014
Birgitta,2460,2131474
Irina,2456,2133930
Lahja,2450,2136380
Peppi,2429,2138809
Alma,2423,2141232
Alli,2404,2143636
Tytti,2378,2146014
Netta,2353,2148367
Hilja,2335,2150702
Tea,2331,2153033
Mirka,2252,2155285
Saimi,2236,2157521
Maritta,2235,2159756
Anne-Mari,2210,2161966
Vieno,2210,2164176
Hilma,2169,2166345
Kiia,2164,2168509
Ulla-Maija,2162,2170671
Marina,2141,2172812
Saga,2138,2174950
Viola,2135,2177085
Mona,2133,2179218
Helka,2100,2181318
Iris,2090,2183408
Sandra,2082,2185490
Lumi,2069,2187559
Stella,2067,2189626
Saila,2060,2191686
Senni,2058,2193744
Nora,2055,2195799
Virve,2049,2197848
Tyyne,2033,2199881
Kristina,2029,2201910
Hilda,2022,2203932
Annikki,2017,2205949
Isla,2005,2207954
Jemina,1991,2209945
Aini,1981,2211926
Janika,1976,2213902
Vilja,1975,2215877
Aija,1971,2217848
Eine,1929,2219777
Susanne,1919,2221696
Rosa,1909,2223605
Karin,1906,2225511
Aava,1898,2227409
Fanny,1889,2229298
Fanni,1885,2231183
Vappu,1881,2233064
Janette,1871,2234935
Tuire,1870,2236805
Taija,1853,2238658
Juulia,1832,2240490
Wilma,1831,2242321
Katriina,1822,2244143
Elma,1805,2245948
Rita,1804,2247752
Alexandra,1803,2249555
Heta,1788,2251343
Hanne,1769,2253112
Jade,1754,2254866
Inga,1752,2256618
Janita,1730,2258348
Selma,1718,2260066
Reija,1703,2261769
Natalia,1702,2263471
Monica,1691,2265162
Minja,1682,2266844
Lilli,1679,2268523
Hertta,1675,2270198
Riitta-Liisa,1673,2271871
Anette,1668,2273539
Inkeri,1666,2275205
Birgit,1652,2276857
Moona,1648,2278505
Vera,1633,2280138
Maisa,1621,2281759
Joanna,1616,2283375
Salli,1597,2284972
Isabella,1595,2286567
Marketta,1588,2288155
Eerika,1579,2289734
Varpu,1574,2291308
Mirjam,1564,2292872
Janna,1549,2294421
Anna-Kaisa,1547,2295968
Eini,1543,2297511
Elsi,1540,2299051
Irmeli,1535,2300586
Heljä,1532,2302118
Frida,1528,2303646
Helli,1506,2305152
Vanessa,1494,2306646
Helga,1486,2308132
Seela,1450,2309582
Titta,1446,2311028
Kia,1443,2312471
Mette,1441,2313912
Aurora,1434,2315346
Anna-Maria,1421,2316767
Tuulikki,1418,2318185
Kerstin,1411,2319596
Miisa,1396,2320992
Christina,1372,2322364
Iisa,1372,2323736
Lena,1370,2325106
Marjaana,1366,2326472
Raisa,1347,2327819
Brita,1345,2329164
Tilda,1336,2330500
Kiira,1328,2331828
Anitta,1324,2333152
Marja-Terttu,1324,2334476
Ninni,1317,2335793
Kirsi-Marja,1313,2337106
Tuovi,1279,2338385
Aliisa,1268,2339653
Cecilia,1261,2340914
Mikaela,1259,2342173
Tia,1257,2343430
Annukka,1250,2344680
Miina,1222,2345902
Lempi,1218,2347120
Laina,1204,2348324
Hanna-Mari,1203,2349527
Inger,1201,2350728
Thi,1199,2351927
Hanna-Leena,1193,2353120
Kyllikki,1187,2354307
Melissa,1185,2355492
Ira,1179,2356671
Elin,1168,2357839
Reeta,1160,2358999
Helinä,1152,2360151
Berit,1147,2361298
Kaisla,1144,2362442
Henni,1137,2363579
Anna-Mari,1134,2364713
Elise,1126,2365839
Marja-Riitta,1118,2366957
Siv,1112,2368069
Siru,1110,2369179
Barbro,1108,2370287
Daniela,1108,2371395
Tina,1105,2372500
Raila,1103,2373603
Melina,1098,2374701
Lisa,1091,2375792
Marianna,1089,2376881
Aura,1085,2377966
Carola,1085,2379051
Else,1083,2380134
Tuulia,1082,2381216
Sointu,1080,2382296
Stina,1068,2383364
Malin,1065,2384429
Katarina,1046,2385475
Solveig,1040,2386515
Svetlana,1028,2387543
Enna,1020,2388563
Hely,1017,2389580
Anna-Leena,1010,2390590
Pirkko-Liisa,999,2391589
Valma,996,2392585
Karita,996,2393581
Saima,990,2394571
Saaga,982,2395553
Liina,980,2396533
Pilvi,979,2397512
Elle,978,2398490
Gunilla,971,2399461
Tinja,970,2400431
Neela,969,2401400
Marie,969,2402369
Annina,968,2403337
Taika,964,2404301
Anne-Maria,964,2405265
Mimosa,961,2406226
Teresa,959,2407185
Sanna-Mari,959,2408144
Marjo-Riitta,954,2409098
Juuli,952,2410050
Carina,951,2411001
Lilian,950,2411951
Mea,938,2412889
Maj-Britt,931,2413820
Erin,929,2414749
Säde,926,2415675
Lina,924,2416599
Kira,924,2417523
Leea,910,2418433
Ester,906,2419339
Susan,902,2420241
Virva,901,2421142
Tessa,895,2422037
Diana,890,2422927
Victoria,889,2423816
Eliisa,885,2424701
Inna,885,2425586
Monika,877,2426463
Lyyli,877,2427340
Henriikka,874,2428214
Sarah,870,2429084
Nanna,867,2429951
Greta,864,2430815
Hanna-Kaisa,862,2431677
Tatiana,861,2432538
Gun,860,2433398
Maija-Leena,859,2434257
Milka,852,2435109
Astrid,851,2435960
Riia,839,2436799
Charlotta,835,2437634
Erica,833,2438467
Janni,830,2439297
Janica,829,2440126
Liisi,822,2440948
Aulikki,816,2441764
Rebecca,812,2442576
Edith,809,2443385
Gunnel,805,2444190
Vivian,804,2444994
Marjukka,804,2445798
Tellervo,802,2446600
Josefiina,798,2447398
Anne-Marie,796,2448194
Nadja,792,2448986
Bertta,790,2449776
Adele,785,2450561
Åsa,784,2451345
Ansa,780,2452125
Harriet,780,2452905
Annu,776,2453681
Mirella,770,2454451
Alva,768,2455219
Mirjami,767,2455986
Aida,764,2456750
Maaret,763,2457513
Margareta,762,2458275
Jasmine,759,2459034
Lyydia,756,2459790
Jatta,755,2460545
Ingrid,751,2461296
Aleksandra,740,2462036
Pipsa,740,2462776
Nita,739,2463515
Rebekka,738,2464253
Gunvor,732,2464985
Minka,732,2465717
Fiona,729,2466446
Ebba,729,2467175
Nelly,727,2467902
Ruut,725,2468627
Sohvi,723,2469350
Mimmi,715,2470065
Benita,714,2470779
Ruth,711,2471490
Suoma,711,2472201
Annamari,705,2472906
Onerva,704,2473610
Verna,704,2474314
Piritta,694,2475008
Iita,682,2475690
Pirita,681,2476371
Rea,679,2477050
Isa,677,2477727
Ann-Mari,668,2478395
Lila,668,2479063
Mailis,666,2479729
Ekaterina,664,2480393
Luna,661,2481054
Meea,660,2481714
Doris,655,2482369
Malla,651,2483020
Aamu,650,2483670
Orvokki,650,2484320
Iines,645,2484965
